UF;CASOS
MG;354
MG;125
MG;230
MG;159
MG;362
MG;194
MG;402
MG;5001
MG;25
MG;177
MG;308
MG;969
MG;1347
MG;1588
MG;595
MG;389
MG;126
MG;633
MG;204
MG;344
MG;83
MG;441
MG;258
MG;94
MG;117
MG;632
MG;508
MG;382
MG;809
MG;2241
MG;5106
MG;1465
MG;2058
MG;3281
MG;1568
MG;1115
MG;11263
MG;585
MG;3133
MG;6133
MG;255
MG;361
MG;1958
MG;708
MG;874
MG;19423
MG;771
MG;760
MG;2760
MG;517
MG;268
MG;223
MG;144
MG;165
MG;809
MG;526
MG;129
MG;106
MG;1934
MG;2152
MG;576
MG;339
MG;607
MG;1798
MG;281
MG;420
MG;347
MG;16616
MG;345
MG;1017
MG;1009
MG;310
MG;276
MG;258
MG;436
MG;443
MG;1549
MG;1071
MG;1464
MG;1095
MG;360
MG;204
MG;232
MG;210
MG;875
MG;342
MG;203
MG;115
MG;845
MG;5146
MG;573
MG;2321
MG;2891
MG;420
MG;2808
MG;575
MG;159
MG;153
MG;699
MG;45
MG;421
MG;345
MG;233
MG;485
MG;1044
MG;7877
MG;873
MG;860
MG;595
MG;878
MG;850
MG;33
MG;282
MG;740
MG;844
MG;2811
MG;56
MG;2039
MG;517
MG;579
MG;549
MG;306
MG;35
MG;236
MG;750
MG;6262
MG;328
MG;105
MG;1027
MG;328
MG;400
MG;111
MG;741
MG;3275
MG;316
MG;106
MG;124
MG;3873
MG;155
MG;302
MG;550
MG;883
MG;206
MG;1221
MG;371
MG;677
MG;361
MG;930
MG;254
MG;168
MG;366
MG;527
MG;1197
MG;179
MG;2154
MG;3027
MG;1014
MG;145
MG;262
MG;535
MG;398
MG;7101
MG;707
MG;778
MG;753
MG;39
MG;1554
MG;812
MG;1856
MG;1642
MG;578
MG;2247
MG;403
MG;199
MG;186
MG;317
MG;386
MG;214
MG;201
MG;4780
MG;366
MG;294
MG;232
MG;408
MG;208
MG;671
MG;455
MG;205
MG;421
MG;332
MG;418
MG;5216
MG;124
MG;261
MG;631
MG;388
MG;239
MG;219
MG;452
MG;430
MG;1914
MG;144
MG;753
MG;141
MG;371
MG;163
MG;173
MG;227
MG;87
MG;281
MG;584
MG;75
MG;90
MG;52
MG;1268
MG;484
MG;537
MG;170
MG;27
MG;1077
MG;20428
MG;186
MG;81
MG;274
MG;262
MG;1051
MG;263
MG;305
MG;286
MG;2774
MG;308
MG;385
MG;57
MG;247
MG;516
MG;746
MG;12189
MG;10776
MG;449
MG;338
MG;2161
MG;257
MG;618
MG;858
MG;7600
MG;2083
MG;6116
MG;468
MG;2705
MG;1046
MG;190
MG;12981
MG;171
MG;1408
MG;31454
MG;98665
MG;266
MG;10737
MG;276
MG;141
MG;940
MG;440
MG;374
MG;115
MG;427
MG;12615
MG;673
MG;3455
MG;707
MG;2649
MG;467
MG;161
