estado;casos
Minas Gerais;96
Minas Gerais;466
Minas Gerais;702
Minas Gerais;845
Minas Gerais;994
Minas Gerais;2735
Minas Gerais;1208
Minas Gerais;1909
Minas Gerais;1053
Minas Gerais;336
Minas Gerais;188
Minas Gerais;183
Minas Gerais;73
Minas Gerais;119
Minas Gerais;1210
Minas Gerais;7038
Minas Gerais;483
Minas Gerais;99
Minas Gerais;495
Minas Gerais;191
Minas Gerais;1459
Minas Gerais;21
Minas Gerais;680
Minas Gerais;935
Minas Gerais;213
Minas Gerais;619
Minas Gerais;175
Minas Gerais;803
Minas Gerais;308
Minas Gerais;425
Minas Gerais;454
Minas Gerais;390
Minas Gerais;3670
Minas Gerais;511
Minas Gerais;322
Minas Gerais;352
Minas Gerais;244
Minas Gerais;468
Minas Gerais;200
Minas Gerais;3946
Minas Gerais;144
Minas Gerais;345
Minas Gerais;2778
Minas Gerais;290
Minas Gerais;1061
Minas Gerais;909
Minas Gerais;101
Minas Gerais;471
Minas Gerais;1007
Minas Gerais;7320
Minas Gerais;96
Minas Gerais;553
Minas Gerais;13070
Minas Gerais;1569
Minas Gerais;52
Minas Gerais;37399
Minas Gerais;632
Minas Gerais;604
Minas Gerais;349
Minas Gerais;163
Minas Gerais;1113
Minas Gerais;424
Minas Gerais;1972
Minas Gerais;12785
Minas Gerais;232
Minas Gerais;196
Minas Gerais;289
Minas Gerais;156
Minas Gerais;416
Minas Gerais;598
Minas Gerais;279
Minas Gerais;81
Minas Gerais;221
Minas Gerais;1284
Minas Gerais;286
Minas Gerais;423
Minas Gerais;481
Minas Gerais;318
Minas Gerais;252
Minas Gerais;1121
Minas Gerais;445
Minas Gerais;572
Minas Gerais;4503
Minas Gerais;466
Minas Gerais;429
Minas Gerais;369
Minas Gerais;1282
Minas Gerais;361
Minas Gerais;349
Minas Gerais;121
Minas Gerais;3638
Minas Gerais;115
Minas Gerais;344
Minas Gerais;274
Minas Gerais;1296
Minas Gerais;274
Minas Gerais;302
Minas Gerais;14389
Minas Gerais;335
Minas Gerais;466
Minas Gerais;433
Minas Gerais;245
Minas Gerais;510
Minas Gerais;608
Minas Gerais;361
Minas Gerais;178
Minas Gerais;893
Minas Gerais;1044
Minas Gerais;239
Minas Gerais;1095
Minas Gerais;146
Minas Gerais;99
Minas Gerais;88
Minas Gerais;1055
Minas Gerais;2390
Minas Gerais;706
Minas Gerais;199
Minas Gerais;387
Minas Gerais;653
Minas Gerais;1258
